table_name,column_name,description
users,id,Unique identifier for each user
users,username,User's login name
users,email,User's email address
users,full_name,User's complete name
users,phone,User's phone number
users,created_at,Date and time user account was created
users,updated_at,Date and time user account was last updated
users,is_active,Boolean flag indicating if user is active
users,country,User's country of residence
users,city,User's city of residence
products,id,Unique product identifier
products,name,Product name
products,description,Detailed product description
products,category,Product category (Electronics, Clothing, Books, etc)
products,price,Current product price
products,stock_quantity,Number of items in stock
products,sku,Stock Keeping Unit
products,manufacturer,Product manufacturer name
products,created_at,Date product was added to catalog
products,updated_at,Last date product information was updated
products,is_active,Boolean flag if product is available for purchase
products,rating,Average customer rating (0-5)
orders,id,Unique order identifier
orders,user_id,Reference to user who placed the order
orders,order_date,Date and time order was placed
orders,status,Order status (pending, completed, cancelled, etc)
orders,total_amount,Total amount of the order including tax
orders,subtotal,Order amount before tax and shipping
orders,tax_amount,Tax amount charged on order
orders,shipping_cost,Shipping cost for the order
orders,delivery_date,Expected or actual delivery date
orders,shipping_address,Address where order will be shipped
orders,payment_method,Payment method used (credit card, paypal, etc)
order_items,id,Unique order item identifier
order_items,order_id,Reference to the parent order
order_items,product_id,Reference to the product ordered
order_items,quantity,Number of units ordered
order_items,unit_price,Price per unit at time of order
order_items,subtotal,Line item subtotal (quantity × unit_price)
order_items,discount_percent,Percentage discount applied if any
order_items,discount_amount,Amount saved from discount
reviews,id,Unique review identifier
reviews,product_id,Product being reviewed
reviews,user_id,User who wrote the review
reviews,rating,Review rating (1-5 stars)
reviews,title,Review title
reviews,comment,Detailed review comment
reviews,helpful_count,Number of people who found review helpful
reviews,created_at,Date review was posted
reviews,updated_at,Date review was last edited
categories,id,Unique category identifier
categories,name,Category name
categories,description,Category description
categories,parent_category_id,Reference to parent category if subcategory
categories,display_order,Order in which category appears
inventory,id,Unique inventory record identifier
inventory,product_id,Reference to product
inventory,warehouse_id,Reference to warehouse location
inventory,quantity,Quantity in this warehouse
inventory,last_counted,Date inventory was last physically counted
inventory,reorder_level,Minimum quantity before reorder needed
payments,id,Unique payment identifier
payments,order_id,Reference to order being paid
payments,amount,Payment amount
payments,payment_date,Date payment was processed
payments,payment_method,Method of payment
payments,transaction_id,External transaction identifier
payments,status,Payment status (pending, completed, failed, etc)
shipments,id,Unique shipment identifier
shipments,order_id,Reference to order being shipped
shipments,tracking_number,Carrier tracking number
shipments,carrier,Shipping carrier (FedEx, UPS, DHL, etc)
shipments,shipped_date,Date shipment left warehouse
shipments,estimated_delivery,Estimated delivery date
shipments,actual_delivery,Actual delivery date
